Orthologs for ORs and IRs
Dmell_ORs_flybase,Dgun_ORs,Dele_OR
DmelOr42b,KAI8036548.1,XP_017120482.1
DmelOr42a,KAI8036515.1,"XP_041565960.1, XP_017111013.1"
DmelOr85a,KAI8044766.1,XP_017124134.1
DmelOr98a,KAI8046695.1,XP_017114475.1
DmelOr59c,KAI8038830.1,XP_017123085.1
DmelOr85d,KAI8044551.1,XP_017123762.2
DmelOr67a,KAI8033535.1,"XP_017113486.1, XP_041565109.1, XP_017133547.2"
"DmelOr85c, DmelOr85b",KAI8044563.1,"XP_017124042.1, XP_017123763.1"
DmelOr65a,KAI8040779.1,XP_017121572.1
DmelOr65c,"KAI8040780.1, KAI8040855.1",XP_017121530.1
DmelOr65b,,XP_017122130.2
DmelOr92a,KAI8033160.1,XP_017114059.1
DmelOr67c,KAI8040672.1,XP_017133586.1
DmelOr33b,KAI8043412.1,XP_017115567.1
 DmelOr33a,,XP_017115471.2
DmelOr94b,KAI8043985.1,XP_017131266.1
DmelOr94a,,XP_017131279.1
DmelOr56a,KAI8038890.1,"XP_041563177.1, XP_017125650.1, XP_041563178.1, XP_041563179.1"
DmelOr74a,KAI8041852.1,XP_017111702.1
DmelOr35a,KAI8042138.1,XP_017115529.1
DmelOrco,KAI8043899.1,"XP_041565378.1, XP_017114693.1"
DmelOr19a,KAI8034431.1,XP_017129735.1
DmelOr47a,KAI8039976.1,"XP_041563305.1, XP_017124309.1"
DmelOr63a,KAI8039241.1,XP_041564102.1
DmelOr9a,KAI8035021.1,"XP_017119320.1, XP_041566654.1"
DmelOr69a,KAI8041340.1,XP_017128183.1
DmelOr59a,KAI8038821.1,XP_017123389.1
DmelOr7a,KAI8035183.1,XP_017112976.1
DmelOr45b,KAI8036317.1,XP_017120063.1
DmelOr24a,KAI8035368.1,XP_017132117.1
DmelOr43a,KAI8037178.1,XP_017129254.1
DmelOr45a,KAI8038350.1,XP_017123277.1
DmelOr43b,KAI8037114.1,XP_017133339.1
DmelOr22c,KAI8043310.1,XP_017129988.1
DmelOr49b,KAI8038620.1,XP_017125604.1
DmelOr30a,KAI8042874.1,XP_017120750.1
DmelOr10a,KAI8034851.1,XP_017121554.1
DmelOr85f,KAI8045986.1,XP_017122473.1
DmelOr88a,KAI8045577.1,XP_017117487.1
DmelOr47b,KAI8040103.1,XP_017124473.1
DmelOr82a,KAI8044792.1,XP_017119592.1
DmelOr13a,KAI8034714.1,XP_017130467.1
DmelOr98b,KAI8045838.1,XP_017130984.1
DmelOr83a,KAI8043897.1,XP_017114596.1
DmelOr85e,KAI8044319.1,XP_017123761.1
DmelOr83c,KAI8046165.1,XP_017130585.1
DmelOr67d,KAI8040677.1,XP_017133552.1
DmelOr1a,KAI8033147.1,XP_017114212.1
DmelOr67b,KAI8040809.1,
DmelOr2a,KAI8033519.1,XP_017112296.1
DmelOr67d-like,KAI8040675.2,XP_017133553.1
DmelOr59b,KAI8038830.1,XP_017123388.1
"DmelOr22a,DmelOr22b ",,"XP_017130134.1,XP_017130210.1"
DmelOr33c,,XP_017115492.1
DmelOr23a,,XP_017129978.1
DmelOr46a -like,,XP_017128777.1
DmelOr85b,,
