Orthogroup	Dgub_JAMKOV01	D_mel_protein
OG0000000	KAI8038076.1	FBpp0091054, FBpp0091098, FBpp0091089, FBpp0091095, FBpp0091083, FBpp0091059, FBpp0091057, FBpp0091062, FBpp0085248, FBpp0091101, FBpp0091050, FBpp0091110, FBpp0091086, FBpp0091065, FBpp0091052, FBpp0091074, FBpp0091071, FBpp0091077, FBpp0091068, FBpp0091104, FBpp0091107, FBpp0091092, FBpp0091080
OG0000001	KAI8043461.1, KAI8034654.1	FBpp0091152
OG0000001	KAI8042337.1	FBpp0091142, FBpp0091124, FBpp0091122, FBpp0091114, FBpp0091120, FBpp0082423
OG0000001	KAI8045585.1	FBpp0091116
OG0000002	KAI8034652.1	FBpp0091123
OG0000002	KAI8042336.1	FBpp0085281, FBpp0091147
OG0000002	KAI8043462.1	FBpp0091125
OG0000003	KAI8046398.1	FBpp0083472
OG0000003	KAI8046065.1, KAI8046067.1, KAI8044452.1	FBpp0083462
OG0000004	KAI8039688.1	FBpp0304551, FBpp0304554, FBpp0304552
OG0000005	KAI8034651.1	FBpp0091105, FBpp0091102, FBpp0091099
OG0000005	KAI8043016.1	FBpp0091069
OG0000006	KAI8035034.1	FBpp0292715, FBpp0292714
OG0000006	KAI8035036.1	FBpp0292710, FBpp0292681, FBpp0292674, FBpp0292679, FBpp0292686, FBpp0292682, FBpp0292685, FBpp0292676, FBpp0292690, FBpp0292687, FBpp0292677, FBpp0292684, FBpp0292695, FBpp0292678, FBpp0292693, FBpp0292680, FBpp0292673, FBpp0292708, FBpp0074073, FBpp0110322, FBpp0292717, FBpp0292721, FBpp0292692, FBpp0292720, FBpp0292691
OG0000007	KAI8041845.1	FBpp0428116, FBpp0303388, FBpp0303389, FBpp0303384, FBpp0311136, FBpp0303383, FBpp0303377, FBpp0303385, FBpp0303381, FBpp0303375, FBpp0303387, FBpp0303382, FBpp0303380, FBpp0303378, FBpp0303379
OG0000008	KAI8043718.1	FBpp0071281, FBpp0071282, FBpp0309302, FBpp0305717, FBpp0071280, FBpp0305716, FBpp0078649
OG0000008	KAI8043013.1	FBpp0091097, FBpp0091067, FBpp0091058, FBpp0091051, FBpp0091053, FBpp0085250, FBpp0091094, FBpp0091085, FBpp0091082, FBpp0091079, FBpp0091073, FBpp0091056, FBpp0091061, FBpp0091076, FBpp0091106, FBpp0091100, FBpp0091103, FBpp0091109, FBpp0091112, FBpp0091088, FBpp0091070, FBpp0091064
OG0000008	KAI8034653.1, KAI8042342.1	FBpp0091091
OG0000009	KAI8033416.1	FBpp0298326, FBpp0304665, FBpp0298325, FBpp0298316, FBpp0298323, FBpp0300833, FBpp0298315, FBpp0298319, FBpp0298322, FBpp0298324, FBpp0298318, FBpp0423192, FBpp0423194, FBpp0423193, FBpp0298314, FBpp0298317, FBpp0298321, FBpp0298320
