Orthologs of IRs
Dmel_IR_flybase,Dele_IR,Dgun_IR
Dmel_Ir52b,XP_017124270.1,KAI8039758.1
Dmel_52d,XP_017124271.1,
Dmel_Ir52a,XP_017124267.2 ,KAI8040090.1
Dmel_Ir75c,XP_017111708.1,KAI8041633.1
Dmel_Ir75a,XP_017111809.2,KAI8041633.1
Dmel_Ir75b,XP_017111709.1,KAI8041633.1
Dmel_Ir94h,XP_017111708.1,KAI8046552.1
Dmel_Ir20a,XP_017119334.1,KAI8033551.1
Dmel_Ir25a,XP_017117182.1,DgunSK04666-RA
Dmel_Ir8a,XP_017114553.1,DgunSK14659-RA
Dmel_Ir100a,XP_017122447.1,KAI8045736.1
Dmel_Ir10a,XP_017121343.1,KAI8034878.1
Dmel_Ir76a,XP_017121961.1,KAI8036686.1
Dmel_Ir41a,XP_041565922.1,KAI8036686.1
Dmel_Ir47a,XP_017110531.2,
"Dmel_Ir48b,",XP_017124258.1,KAI8040034.1
"Dmel_Ir51b, Dmel_Ir51a",XP_017124264.1,"KAI8039794.1,KAI8040038.1"
Dmel_Ir60c,XP_017124278.1,
"Dmel_Ir60d, Dmel_Ir60b",XP_017124277.1,KAI8039870.1
Dmel_Ir7e,XP_017116179.1,
Dmel_Ir40a,XP_041566014.1,"KAI8038210.1,KAI8038209.1"
"Dmel_Ir94d, Dmel_Ir94e",XP_017128853.1,KAI8040034.1
Dmel_Ir7a,XP_017116181.1,KAI8035300.1
Dmel_Ir7b,XP_017116134.1,KAI8035302.1
Dmel_Ir7c,XP_017116144.1,KAI8035276.1
Dmel_Ir7f,XP_017116132.1,
Dmel_Ir7g,XP_017116163.1,KAI8035303.1
Dmel_Ir21a,XP_041566558.1,KAI8038210.1
Dmel_Ir31a,XP_041566450.1,KAI8043341.1
Dmel_Ir48c,XP_017124239.1,KAI8039656.1
Dmel_Ir54a,XP_017125505.1,KAI8039604.1
Dmel_Ir56a,XP_017120531.1,KAI8038569.1
Dmel_Ir56b,XP_041563332.1,"KAI8040038.1, KAI8038831.1"
Dmel_Ir56c,XP_017123104.1,KAI8038572.1
Dmel_Ir56d,XP_017123105.1,KAI8038569.1
Dmel_Ir56e,XP_017123106.1,KAI8038876.1
Dmel_Ir60a,XP_017125448.1,KAI8039961.1
Dmel_Ir60e,XP_017124273.2,KAI8039508.1
Dmel_Ir62a,XP_017127018.1,KAI8039456.1
Dmel_Ir64a,XP_017129306.1,KAI8040725.1
Dmel_Ir67a,XP_017133548.1,KAI8040429.1
Dmel_Ir68a,XP_017133560.1,KAI8040269.1
Dmel_Ir68b,XP_017121569.1,KAI8045835.1
Dmel_Ir75d,XP_017126651.1,KAI8040990.1
Dmel_Ir76b,XP_017122135.1,KAI8036619.1
Dmel_Ir84a,XP_017119582.2,KAI8046661.1
Dmel_Ir85a,XP_017123877.1,KAI8045835.1
Dmel_Ir87a,XP_017117215.1,KAI8046001.1
Dmel_Ir92a,XP_017113485.1,KAI8046561.1
Dmel_Ir93a,XP_017119248.1,DgunSK01484-RA
Dmel_Ir94f,XP_017128930.1,KAI8046551.1
Dmel_Ir7d,XP_017116133.1,DgunSK12630-RA
Dmel_Ir11a,XP_017133358.1,
Dmel_Ir67b,XP_017133554.1,
Dmel_Ir67c,XP_017133555.1,
Dmel_Ir94g,XP_017128850.1,KAI8033551.1
"Dmel_Ir94b, Dmel_Ir94c, Dmel_Ir94a,Dmel_Ir94i",,KAI8044164.1
